order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,khipu-47bl,Khipus: Knots of Knowledge in the Inca Empire,,"Nimi Dosanjh, Bianca Gonzalez, Diana Umana, Julia Middleton, and Logan Reyes",,
