step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,khipu,0.49987277369344296,0.500071687893387,0.6145190010064986,,A Bundle of Knots?,"At first glance, a khipu (also spelled quipu) looks like a bundle of colored strings with knots tied along its cords. Yet for the Inca Empire, khipus were much more than simple pieces of fiber. These remarkable objects helped people organize and preserve information across one of the largest empires in the Americas. Today, khipus remain one of the most recognizable and intriguing objects from the ancient Andes.

Image: Group photo from MIRL",,Learn more,khipu-47bl-khipus-in-the.md,Go deeper,khipu-47bl-more-than-knots.md,,,
2,unknown,0.5,0.5,1,,How was the Khipu made?,"Khipus were constructed using a main horizontal cord with multiple hanging pendant cords attached to it. The cords were commonly made from cotton or camelid fibers such as llama or alpaca wool. Different knot types, cord placements, colors, and spinning directions carried different meanings. Numerical values were recorded through a decimal system in which knot placement represented units, tens, hundreds, and thousands.

Image:  Method of Tying Knots 
Source: Quave, 2022: Figure 7. ",,Learn more,khipu-47bl-the-signature.md,,,,,
3,unkn,0.5,0.5,1,,What is the Khipu’s function?,"The majority of khipus served as the main tool for accountability purposes, and thus are classified as numerical quipus. Numerical khipus kept track of multiple aspects of the Inca Empire: tax payments (i.e., services, labor), assets (i.e., livestock, food), population (i.e., census, demographics), resources (i.e., gold, silver), and geography (i.e., land) throughout all levels of Inca society.

Image: Reading Numbers in the Khipu
Source: Sneha, 2014: Figure 3",,Learn more,khipu-47bl-level-2.md,Go deeper,khipu-47bl-go-deeper.md,,,
4,unknown-3,0.5,0.5,1,,How were colors used in Khipus?,"High levels of calcium have been found in indigo dyes in Khipus, indicating ashes were used to dye strands. Traces of cochineal, a reddish-colored insect native to South America, were also found yielding colors like red, pink, and brown. Once dyed, strands are organized. Some are mottled, meaning there are multiple colors in a strand, banded, when the color remains consistent across several strands, segmented where the color changes moving down a strand, and seriated where each band is colored differently. 

Image: Dallas Museum of Art Khipu Photo 
Source: Quave, 2026: Figure 6",,Learn more,khipu-47bl-significance-of-different.md,,,,,
5,g,0.5,0.5,1,,Who made and used the khipu?,"The khipu was made and used by specialized Inka officials called khipukamayuq, or ""knot keepers,"" trained record keepers rather than members of the general population. The skill was largely restricted to this professional class, which served the state and was often passed down within families. So while almost anyone in the empire might encounter a khipu, actually reading and making one was a specialized craft held by trained officials.

Image: The Khipu Knot Records of the Andes
Source: Taryn 2021: Figure 1",,Learn more,khipu-47bl-a-professional-caste.md,Go deeper,khipu-47bl-beyond-the-elite.md,,,
6,,,,,,About,"This website was made as a final project for ARTHIS 130D: Art and Archaeology of the Ancient Andes at UC Santa Barbara, Spring 2026. Contributions to this website were made from Nimi Dosanjh, Julia Middleton, Diana Umana, Logan Reyes, and Bianca Gonzalez. 

For this project, our group was tasked to create a digital storyline about an object from the Ancient Andes. Assigned with the khipu, our group created a website that walks the audience through the many features of the khipu. With the broad coverage that our website covers, we hope this leaves our audience with a better understanding, appreciation, and fascination towards Inca culture. 

See next page for Bibliography! 

",,Bibiliography,khipu-47bl-works-cited.md,,,,,
