step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,bimetallic-effigy-spoon,0.5,0.5,1,,How was the significance of the trumpet connect to the drug purpose?,The religious aspects of the trumpet and drug use connect and signify poiwer.,,,,,,,,
2,bimetallic-effigy-spoon,0.5,0.5,1,,Who made it?,"A blacksmith ",,,,,,,,
3,bimetallic-effigy-spoon,0.47720677988852056,0.6315595419327419,1.53746209266437,,Who was the intended audience?,Elite religious groups,,,,,,,,
4,bimetallic-effigy-spoon,0.4244088486450717,0.471102497846684,2.0735999999999994,,What are the two metals it is made out of?,Gold and iron,,,,,,,,
